parsed_jt,unique_id_count,associated_reference_jt_list
", Operations Manager",5,operations manager
- Project Manager,1,"expediting manager,project manager"
ADMINISTRATIVE ASSISTANT,2,"assistant facility manager,administrative assistant"
ASSEMBLER,1,assembler
Account Sales Representative,1,sales representative
Accountant,38,"accountant,surveyor"
Accounting Manager,5,finance manager
Administrative Assistant,20,"assistant facility manager,administrative assistant"
Administrative Assistant Manager,1,"computer and information system manager,expediting manager,inspection and expediting manager"
Administrative Assistant Project Assistant,1,expediting manager
Administrative Assistant Project Coordinator,5,expediting manager
Analyst,5,"data analyst and condition monitoring,meteorologist,surveyor"
Analytics Engineer,1,data analyst and condition monitoring
Application Developer,1,software developer
Assembler,5,assembler
Asset Analyst,3,data analyst and condition monitoring
Assistant Electrical Engineer,58,"electrical engineer,engine room rating"
Assistant Manager,1,assistant facility manager
Assistant Operations Manager,5,operations manager
Assistant Project Manager,5,"project manager,expediting manager,material mover supervisor"
Assistant Project Quality Control Manager,3,project manager
Associate Assembler,2,assembler
Associate Civil Engineer,1,"civil drafter,civil engineer technician"
Associate Construction Project Manager,4,"construction manager,project manager"
Associate Development Manager,1,development manager
Associate Energy Efficiency Consultant,3,energy system analyst
Associate Engineer,1,"surface engineer,civil engineer technician,engine room rating,tower design engineer"
Associate Paralegal,2,paralegal
Associate Project Manager,8,"project manager,material mover supervisor"
Associate Site Operator,8,"rope access technician,dredge operator"
Associate Vice Affairs,1,vice president
Associate Vice President Initiatives,1,vice president
Associate Warehouseperson,1,warehouse manager
Automation Engineer,3,"fallpipe technician,automation and robotic engineer,calibration technician,civil engineer technician,engine room rating,machine operator,tower design engineer,vibration and noise control engineer"
Automation Systems Engineer,2,"automation and robotic engineer,engine room rating,machine operator"
Axis Operator,1,cnc operator
Balance of Plant Site Manager,1,plant manager
Battery Test Lab Business Developer,1,metal refiner
Bearing Engineering Specialist,1,bearing engineer
Bid Manager,17,"bid manager,expediting manager,metal refiner"
Blade Repair Services Technician,24,"blade inspection technician,rope access technician"
Blade Repair Services Technician Associate,2,blade inspection technician
Blade Repair Technician,3,"composite blades technician,rope access technician,blade inspection technician"
Blade Repair Technician Technician,1,"rope access technician,blade inspection technician"
Blade Technician,2,composite blades technician
Blade Test Engineer,2,blade testing engineer
Blower Assembler,2,assembler
Brand & Event Marketing Manager,1,marketing manager
Business Analyst,1,"data analyst and condition monitoring,marketing and business development analyst"
Business Applications and Supply Chain Solutions Manager,1,supply chain manager
Business Development Analyst,3,marketing and business development analyst
Business Development Manager,61,"development manager,marketing and business development analyst,wind energy development manager"
Business Operations Analyst,4,marketing and business development analyst
Buyer,914,purchaser buyer
CAD Drafter,1,"drafting engineer,drafter"
CNC Lathe Operator,9,cnc operator
CNC Machinist,598,"welding machinist,rolling machine setter,machine operator,metal grinder"
CNC Mill Operator,1,cnc operator
CNC Operator,3,cnc operator
CNC Programmer,28,cnc operator
COMMERCIAL ANALYST,1,marketing and business development analyst
CONSOLIDATION FACILITY TASK MANAGER SITE SUPERVISOR,1,facility manager
CONSOLIDATION FACILITY TASK MANAGER SITE SUPERVISOR / ENGINEER,1,facility manager
Cable Advisor,1,"rope access technician,cable splicer,cable testing inspector"
Cable Electrical Engineer,1,"cable machine operator,rope access technician,cable splicer,cable testing inspector,electrical power line installer"
Cable Engineer,3,"cable machine operator,fallpipe technician,rope access technician,cable splicer,cable testing inspector,carpenter"
Campground Recreation Technician,1,rope access technician
Campus Electrical Engineer,2,"electronic engineer,electrical engineer"
Chief Dam Safety Engineer,1,safety engineer
Chief Development Officer,1,government relation officer
Chief Engineer,1,electrical engineer
Chief Financial Officer,1,chief financial officer
Civil Construction Estimator / Project Manager,1,construction manager
Civil Design Engineer,1,civil engineer
Civil Engineering Project Manager,1,project manager
Civil Structural Engineer,1,"structural metal engineer,civil engineer"
Civil and Structural Engineer,1,"civil engineer technician,civil engineer"
Clean Energy Analyst,1,"energy system analyst,environmental policy analyst,metal refiner"
Clean Energy Customer Service Representative,91,customer service representative
Clean Energy Markets Analyst,1,"energy system analyst,environmental policy analyst"
Cleaning Person,1,cleaning staff supervisor
Client Rep Cables,1,rope access technician
Client Representative,1,government relation officer
Coastal Engineer,2,"ocean engineer,surface engineer,civil engineer technician,dredge operator"
Commercial & Proposal Manager,5,expediting manager
Commercial Administrative Assistant,4,administrative assistant
Commercial Manager,2,"expediting manager,inspection manager"
Commercial Sales Representative,9,"sales representative,commercial sales representative"
Commissioning Engineer,4,"commissioning manager,engine room rating,inspection and expediting manager"
Commissioning Specialist,1,commissioning manager
Commissioning Supervisor,1,"commissioning manager,inspection and expediting manager,material mover supervisor"
Communication Manager,2,communication manager
Communications & Stakeholder Associate,1,communications associate
Communications Advisor,1,communications manager director
Communications Associate,5,"communications manager director,communications associate"
Communications Content Coordinator and Writer,3,communications associate
Communications Coordinator,1,communications manager director
Communications Director,1,public relation specialist
Communications Manager,5,"communications manager director,communication manager,computer and information system manager"
Communications Specialist,3,public relation specialist
Communications and Administrative Specialist,1,communications manager director
Communications and Events Manager,5,communications manager director
Community Engagement Coordinator,7,community relation and stakeholder engagement manager
Community Engagement Manager,1,community relation and stakeholder engagement manager
Community Engagement Organizer,3,community relation and stakeholder engagement manager
Compliance Analyst,1,custom officer
Condition Monitoring Systems Analyst,10,data analyst and condition monitoring
Construction & Operations Plan Project Manager,2,"project manager,construction manager,operations manager"
Construction Assistant Manager,1,construction manager
Construction Commercial Manager / Subcontract Manager,3,construction manager
Construction Commissioning Manager,1,"commissioning manager,construction manager"
Construction EHS Manager,11,construction manager
Construction Lead / Manager,5,"construction manager,construction foreman,inspection and expediting manager"
Construction Manager,157,"construction manager,carpenter,construction foreman,construction laborer,expediting manager,inspection and expediting manager,inspection manager,maintenance coordinator,material mover supervisor"
Construction Project Coordinator,2,construction laborer
Construction Project Manager,35,"project manager,construction manager,construction foreman"
Construction Proposal Manager,2,construction manager
Construction Safety Manager,4,"safety specialist,construction manager,project manager"
Construction Safety Specialist,1,"safety specialist,construction laborer"
Construction Site Manager,1,construction manager
Content Marketing Manager,1,marketing manager
Contractor Quality Control System Manager,1,quality assurance and control inspector
Contracts Manager,9,"construction manager,expediting manager,maintenance coordinator"
Control Room Operator,749,control room operator
Controller Analyst,1,data analyst and condition monitoring
Controls Engineer,2,"fallpipe technician,surface engineer,calibration technician,civil engineer technician,control room operator,engine room rating,tower design engineer,vibration and noise control engineer"
Corporate Finance Associate,2,financial analyst
Corporate Paralegal,9,paralegal
Corporate Relations,4,government relation officer
Corporate Tax Intern,1,tax compliance officer
Cost Accountant,5,accountant
Cost Estimator,18,cost estimator
Crane Inspector,1,heavy lift crane operator
Crane Operator,10,"heavy lift crane operator,crane operator"
Crane Operator / Terminal Operator,5,crane operator
Customer Service Representative,8,"sales representative,customer service representative"
Customer Service Specialist,1,sales representative
Demand Planning & Supply Chain Analytics Manager,1,supply chain manager
Deputy Construction Manager,1,construction manager
Deputy Health and Safety Manager,1,health safety and environment manager
Deputy Marine Construction Manager,1,construction manager
Deputy Project Construction Manager,4,"construction manager,project manager"
Design Engineer,535,"tower design engineer,civil drafter,surface engineer,thermoplastics engineer,civil engineer technician,vibration and noise control engineer"
Design Engineering Manager,2,engineering manager director
Development Engineer,3,"surface engineer,tower design engineer"
Development Engineering Senior Director,1,engineering manager director
Development Manager,11,"development manager,expediting manager,training and development manager"
Development Project Manager,4,"development manager,project manager,expediting manager"
Digital Marketing Manager,2,marketing manager
"Director , Development Project Manager",2,"development manager,project manager"
Director Development,1,director quality and operations support
Director Hydrogen,2,metal refiner
Director Resource,1,government relation officer
Director of Human Resources,3,human resources manager
Director of Offshore Wind Development,1,wind energy development manager
Director of Tax Planning,4,tax compliance officer
Distribution Center Coordinator,4,warehouse coordinator
Distribution Center Operations Manager,3,operations manager
District Sales Representative,9,sales representative
Document Controller,1,document controller
Documentation Specialist,1,it specialist
Doggerbank Finance Manager,1,dredge operator
Driver / Rigger,2,rigger
Drone Sales Representative,1,sales representative
E&I Technician,4,engineering technician
EHS Engineer,2,hse engineer
ELECTRICAL ENGINEER,25,"industrial machinery electrician,electrical engineer"
EUROPEAN BUSINESS DEVELOPMENT MANAGER,7,development manager
Ecologist,2,"hydrologist,marine biologist,meteorologist"
Electric Motor Winder Technician,2,wind turbine technician
Electric Transmission Engineer,4,engine room rating
Electrical & Controls Engineer,2,electrical engineer
Electrical . Engineer,4,"electronic engineer,electrical power line installer,electrical drafter"
Electrical / HVDC Engineer,5,electrical engineer
Electrical Analytical Design Engineer,26,"electrical engineer,data analyst and condition monitoring"
Electrical Apprentice,1,industrial machinery electrician
Electrical Compliance Engineer,1,"electrical inspector,electrical engineer"
Electrical Cost Estimator,1,cost estimator
Electrical Design Engineer,7,"electrical engineer,electrical drafter,tower design engineer"
Electrical Drafter,1,"electrical drafter,drafter"
Electrical Engineer,1286,"industrial machinery electrician,electrical engineer,electronic engineer,electrical inspector,electrical power line installer,electrical drafter,electrical engineer technician,electrician foreman"
Electrical Engineer / Manager,1,electrician foreman
Electrical Engineer Offshore Substation,1,engine room rating
Electrical Engineer Transmission,1,electrical power line installer
Electrical Engineering Consultant,1,electronic engineer
Electrical Engineering Manager,1,engineering manager director
Electrical Equipment Technician,1,"rope access technician,calibration technician,electrical power line installer,electrical engineer technician,electrician foreman,electromechanical technician,surveying technician"
Electrical Graduate Engineer,9,"electronic engineer,electrical engineer"
Electrical Lead Engineer,6,"electronic engineer,electrical engineer"
Electrical Maintenance Technician,2,"mechanical engineer technician,maintenance technician"
Electrical Power Engineer,2,electrical engineer
Electrical Power System Engineer,1,"energy system analyst,electrical power line installer"
Electrical Project Engineer,32,"electronic engineer,electrical engineer"
Electrical Solar Engineer,1,electrical engineer
Electrical Substation Project Engineer,1,electrical engineer
Electrical Substation Project Engineer Technical Interface / Interconnection Manager,1,"electrical engineer,project manager"
Electrical Technician,2,"wind turbine technician,fallpipe technician,rope access technician,soldering technician,calibration technician,electrical power line installer,electrical engineer technician,electrician foreman,electromechanical technician,surveying technician"
Electrical and Electronics Engineer,7,"engineering technician,electrical engineer"
Electrical and Electronics Engineer . .,1,electrical engineer
Electrical engineer,2,"industrial machinery electrician,electrical engineer"
Electrician,80,"electrician,carpenter,electrical power line installer,electrician foreman"
Electricians,1,"electrician,carpenter,electrical power line installer,electrician foreman"
Email Marketing Specialist,1,marketing manager
Embroidery Machine Operator,1,machine operator
Energy Analyst,4,"energy system analyst,data analyst and condition monitoring,metal refiner,meteorologist"
Energy Efficiency Consultant,6,energy system analyst
Energy Investment Banking Analyst,1,energy system analyst
Energy Manager,1,metal refiner
Energy Market Analyst,2,"energy system analyst,metal refiner,meteorologist,power marketer and analyst"
Energy Resources Lead,6,metal refiner
Energy Storage Engineer,1,energy system analyst
Engineer,30,"electrical engineer,ship engineer,surface engineer,civil engineer,civil engineer technician,mining engineer,tower design engineer"
Engineer Battery,1,engine room rating
Engineer Engineering Technical Specialist,1,"surface engineer,civil engineer technician"
Engineer Project,3,"engine room rating,tower design engineer"
